Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.4156287,30.95358788676761,-1.7474948,-3.452667106088934,-3.452667106088934,2.3574617,0.022614919,0.00029227848,0.19742616,0.004871565,1.0
200000,1.3812476,67.0,-1.6787869,-1.6524570361057147,-1.6524570361057147,1.2784398,0.024107981,0.00027764562,0.19254853,0.0046281717,1.0
300000,1.3348503,178.52342158859472,-0.10751608,3.99067000685067,3.99067000685067,1.0726098,0.022373544,0.000262218,0.18740599,0.0043715597,1.0
400000,1.2950593,391.7639484978541,1.5305693,15.238413612218373,15.238413612218373,0.7788547,0.024631066,0.0002475687,0.1825229,0.004127892,1.0
500000,1.2731197,608.4370860927153,2.8158114,27.294704543044237,27.294704543044237,0.5008081,0.024573216,0.0002328363,0.17761208,0.0038828428,1.0
600000,1.2605134,694.1398601398602,3.8175466,32.42622672261058,32.42622672261058,0.388643,0.024481008,0.00021734144,0.17244713,0.0036251121,1.0
700000,1.2456266,690.3623188405797,4.279718,32.22608989909075,32.22608989909075,0.42845285,0.024774624,0.00020265224,0.16755071,0.0033807813,1.0
800000,1.2358422,853.2260869565217,4.585617,41.39391668983128,41.39391668983128,0.22363703,0.02332916,0.00018797212,0.16265737,0.003136602,1.0
900000,1.222857,890.6637168141593,4.6858497,43.37655247629216,43.37655247629216,0.1782539,0.022218885,0.00017251806,0.15750599,0.0028795493,1.0
1000000,1.2136707,865.1327433628319,4.711863,42.010623163881554,42.010623163881554,0.19493501,0.022942862,0.00015706118,0.15235372,0.0026224502,1.0
1100000,1.2110643,860.0508474576271,4.7945175,41.72585113371833,41.72585113371833,0.2351971,0.023431875,0.00014233388,0.14744462,0.002377486,1.0
1200000,1.2072127,852.8,4.742368,41.637920304139456,41.637920304139456,0.19197658,0.022688765,0.0001276531,0.14255102,0.0021332952,1.0
1300000,1.2037734,809.8943089430894,4.7451243,39.18984085951394,39.18984085951394,0.19730915,0.02470212,0.00011216911,0.13738969,0.0018757446,1.0
1400000,1.2005732,871.5333333333333,4.744533,42.616670393943785,42.616670393943785,0.16866583,0.023760507,9.74747e-05,0.13249154,0.0016313279,1.0
1500000,1.1951765,818.0336134453781,4.7969246,39.551263991524195,39.551263991524195,0.20666721,0.023107136,8.2766506e-05,0.1275888,0.0013866811,1.0
1600000,1.1910723,803.8852459016393,4.7842793,38.836888678738326,38.836888678738326,0.21961626,0.022916311,6.728768e-05,0.12242921,0.0011292171,1.0
1700000,1.1875479,858.6106194690266,4.8164444,41.95265853299504,41.95265853299504,0.15423328,0.023992822,5.2560434e-05,0.11752011,0.00088425376,1.0
1800000,1.1866293,887.0733944954128,4.8308067,43.66238910998773,43.66238910998773,0.12054322,0.022980545,3.786681e-05,0.112622246,0.0006398498,1.0
1900000,1.1855366,919.7964601769911,4.865427,45.369472961510176,45.369472961510176,0.10306029,0.023658196,2.2375652e-05,0.10745852,0.0003821801,1.0
2000000,1.1839621,902.1696428571429,4.83341,44.301789566874504,44.301789566874504,0.13968891,0.024325885,7.680397e-06,0.1025601,0.00013774895,1.0
