Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.4092643,15.21967321340155,-4.016737,-4.239016346538749,-4.239016346538749,2.5081184,0.023840867,0.0002923029,0.1974343,0.004871971,1.0
200000,1.3832996,26.480948348856902,-3.3298242,-3.679251398609183,-3.679251398609183,0.95178616,0.024056546,0.00027765572,0.19255191,0.0046283402,1.0
300000,1.3519226,45.125,-2.4668677,-2.7395025710065304,-2.7395025710065304,1.1055185,0.023229849,0.00026218564,0.18739522,0.004371021,1.0
400000,1.3198164,72.60612855007474,-1.5574919,-1.3696934016830717,-1.3696934016830717,1.2330515,0.023949213,0.00024751792,0.18250597,0.004127047,1.0
500000,1.2869198,89.66039426523298,-0.94551986,-0.5169800543443277,-0.5169800543443277,1.3972642,0.024804464,0.00023287283,0.17762426,0.0038834505,1.0
600000,1.2626503,141.13517665130567,-0.016822807,2.0567593069120487,2.0567593069120487,1.2800121,0.023657586,0.00021744028,0.17248008,0.003626756,1.0
700000,1.2418389,181.9133064516129,0.7409764,4.0188647482022795,4.0188647482022795,1.242113,0.024243552,0.00020197753,0.16732582,0.0033695586,1.0
800000,1.2193285,231.0725,1.2819424,6.629281285974583,6.629281285974583,1.2327305,0.023645084,0.00018726558,0.16242185,0.0031248494,1.0
900000,1.1993498,312.74754098360654,2.018035,10.637378285361118,10.637378285361118,1.1153896,0.02530489,0.00017257978,0.15752657,0.0028805758,1.0
1000000,1.1843746,373.1192660550459,2.5976927,13.655964810913856,13.655964810913856,0.90637904,0.02252684,0.00015707102,0.15235698,0.0026226135,1.0
1100000,1.1723968,512.4124293785311,3.0409393,20.620623606072982,20.620623606072982,0.80288523,0.022402607,0.00014236919,0.14745638,0.002378073,1.0
1200000,1.1641136,644.2170542635658,3.5243006,27.210855417473372,27.210855417473372,0.66860616,0.02289692,0.00012769377,0.14256456,0.0021339715,1.0
1300000,1.1556102,762.4247787610619,3.7467115,33.12124216451054,33.12124216451054,0.66223043,0.022555223,0.00011214457,0.13738151,0.0018753369,1.0
1400000,1.1499634,868.2828282828283,3.920637,38.414145127691405,38.414145127691405,0.5497429,0.025385462,9.745264e-05,0.1324842,0.001630961,1.0
1500000,1.1471953,754.5631067961165,4.010035,32.72815856192876,32.72815856192876,0.60931337,0.023502529,8.275288e-05,0.12758428,0.0013864547,1.0
1600000,1.1429634,1233.2674418604652,4.069852,56.66337745411452,56.66337745411452,0.5127149,0.023603981,6.719413e-05,0.122398004,0.0011276609,1.0
1700000,1.1384957,1089.2777777777778,4.2431107,49.463893592357635,49.463893592357635,0.43506965,0.024456447,5.2465333e-05,0.117488414,0.0008826719,1.0
1800000,1.1366093,1371.3333333333333,4.3496904,63.56667264302572,63.56667264302572,0.37522686,0.024333531,3.77219e-05,0.112573944,0.00063743937,1.0
1900000,1.1352112,1470.3666666666666,4.4416633,68.51833975315094,68.51833975315094,0.40260974,0.02349434,2.2238462e-05,0.10741279,0.00037989818,1.0
2000000,1.1343728,1659.659574468085,4.46381,77.98298598857636,77.98298598857636,0.32102457,0.02376934,7.5620796e-06,0.102520674,0.00013578095,1.0
