Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.4174244,17.38760995695302,-1.595213,-4.130619487266248,-4.130619487266248,4.1198144,0.024370737,0.00029230412,0.19743471,0.0048719924,1.0
200000,1.395519,28.18736383442266,-3.038227,-3.590706704339827,-3.590706704339827,1.00898,0.025192823,0.00027767062,0.19255689,0.004628587,1.0
300000,1.3562696,49.97284345047923,-2.1733046,-2.501809376107054,-2.501809376107054,1.1594756,0.024613833,0.00026223937,0.18741314,0.004371915,1.0
400000,1.3194494,79.64564831261102,-1.1265881,-1.0177173618736741,-1.0177173618736741,1.1719527,0.02559225,0.00024757176,0.1825239,0.004127943,1.0
500000,1.2897477,162.8297455968689,0.49113256,3.141487865765267,3.141487865765267,1.0402972,0.024520675,0.00023287872,0.17762622,0.0038835488,1.0
600000,1.2669683,285.81481481481484,2.0442576,9.290741858658967,9.290741858658967,0.8133696,0.024402006,0.00021739902,0.17246631,0.003626069,1.0
700000,1.2447202,380.6744186046512,2.929129,14.033722485220709,14.033722485220709,0.6188642,0.022490311,0.00020271257,0.16757083,0.0033817843,1.0
800000,1.2324357,686.0238095238095,3.8230429,29.301193390573776,29.301193390573776,0.4053321,0.023973217,0.00018801434,0.16267142,0.003137304,1.0
900000,1.2154392,872.0350877192982,4.309485,38.60175814963224,38.60175814963224,0.26825848,0.025243545,0.00017252228,0.1575074,0.0028796196,1.0
1000000,1.206769,1157.877192982456,4.4417253,52.893864686029,52.893864686029,0.32295996,0.022230461,0.00015699875,0.15233289,0.002621411,1.0
1100000,1.2019941,1212.2857142857142,4.5024943,55.61429096971239,55.61429096971239,0.2662701,0.023440564,0.00014228393,0.14742796,0.002376655,1.0
1200000,1.1931667,1249.9411764705883,4.514155,57.49706425035701,57.49706425035701,0.33744416,0.025271278,0.00012760737,0.14253578,0.002132535,1.0
1300000,1.1855154,1283.952380952381,4.5338454,59.19762463796707,59.19762463796707,0.23907082,0.026197812,0.00011209453,0.13736483,0.0018745044,1.0
1400000,1.1811196,1576.98,4.5402637,73.84900686264038,73.84900686264038,0.25473908,0.023542121,9.737196e-05,0.1324573,0.001629619,1.0
1500000,1.1766835,1448.2037037037037,4.554942,67.41019151828907,67.41019151828907,0.26378992,0.022513935,8.266757e-05,0.12755582,0.001385036,1.0
1600000,1.1746438,1634.6037735849056,4.492461,76.73019582820389,76.73019582820389,0.24537489,0.024727862,6.7191446e-05,0.12239714,0.0011276163,1.0
1700000,1.174284,1961.5882352941176,4.5832887,93.079420374889,93.079420374889,0.27631795,0.023998033,5.249575e-05,0.117498554,0.00088317797,1.0
1800000,1.1719172,1411.92,4.707154,65.59600616455079,65.59600616455079,0.13954404,0.023960602,3.7806407e-05,0.1126021,0.0006388451,1.0
1900000,1.1709608,2341.344827586207,4.8042803,112.06725169872415,112.06725169872415,0.13743892,0.022049885,2.2335833e-05,0.10744524,0.00038151772,1.0
2000000,1.1704378,2129.1428571428573,4.7380295,101.4571522133691,101.4571522133691,0.18329564,0.021693714,7.6212327e-06,0.102540396,0.00013676485,1.0
