Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.41401,19.513862830936002,0.4994219,-4.024332765443211,-4.024332765443211,11.488155,0.02266462,0.00029230793,0.19743595,0.0048720553,1.0
200000,1.390602,27.35385949696444,-1.9560959,-3.6326828306897867,-3.6326828306897867,2.1450105,0.02374776,0.00027767703,0.19255902,0.004628694,1.0
300000,1.35908,45.43103448275862,-2.1267023,-2.728383097622036,-2.728383097622036,1.2751681,0.024464231,0.00026223986,0.18741328,0.0043719225,1.0
400000,1.3219001,89.20289855072464,-0.98162997,-0.5398548114702897,-0.5398548114702897,1.2708893,0.025260862,0.00024755445,0.18251817,0.0041276547,1.0
500000,1.2875445,133.22690437601295,0.3029946,1.6613456777853943,1.6613456777853943,1.1610343,0.023948206,0.00023289099,0.17763034,0.0038837525,1.0
600000,1.257746,255.12794612794613,1.8502634,7.756398279658873,7.756398279658873,0.87090844,0.023872375,0.00021742847,0.17247613,0.0036265594,1.0
700000,1.2394003,389.32105263157894,2.757612,14.46605419861643,14.46605419861643,0.70800686,0.022419881,0.00020272245,0.16757412,0.003381949,1.0
800000,1.2214282,500.75471698113205,3.392664,20.03773792584737,20.03773792584737,0.62327963,0.02167249,0.00018802957,0.16267651,0.003137558,1.0
900000,1.2054857,732.7383177570093,3.8475254,31.636919021606445,31.636919021606445,0.5015256,0.022928039,0.00017257218,0.15752403,0.0028804496,1.0
1000000,1.1975436,872.5054945054945,4.138768,38.62527845980047,38.62527845980047,0.44853967,0.024315793,0.00015710162,0.1523672,0.0026231227,1.0
1100000,1.1900606,1446.390625,4.3337812,67.3195375725627,67.3195375725627,0.33653197,0.022938604,0.00014239583,0.14746526,0.0023785166,1.0
1200000,1.1876607,919.953125,4.514675,40.99766022339463,40.99766022339463,0.31986058,0.023316788,0.00012771813,0.14257269,0.002134377,1.0
1300000,1.1844033,1862.787234042553,4.643112,88.13936990372677,88.13936990372677,0.24483232,0.023208769,0.000112259746,0.1374199,0.0018772526,1.0
1400000,1.1785533,1064.3962264150944,4.555609,48.21981595147331,48.21981595147331,0.28100878,0.02402213,9.755647e-05,0.1325188,0.0016326878,1.0
1500000,1.1749736,1395.3555555555556,4.631549,64.7677838643392,64.7677838643392,0.23505008,0.022837022,8.2857136e-05,0.12761901,0.0013881889,1.0
1600000,1.171372,1670.7142857142858,4.7368264,78.53572154045105,78.53572154045105,0.17212616,0.023472043,6.739535e-05,0.12246509,0.0011310077,1.0
1700000,1.1702594,2558.92,4.740825,122.94601120948792,122.94601120948792,0.14270653,0.02368202,5.2687115e-05,0.117562346,0.0008863609,1.0
1800000,1.1698667,1431.8,4.7649465,66.59000625610352,66.59000625610352,0.14730275,0.021070804,3.7951853e-05,0.11265059,0.0006412644,1.0
1900000,1.1689695,2590.5555555555557,4.8180995,124.5277892086241,124.5277892086241,0.104673386,0.024928182,2.2444716e-05,0.107481524,0.00038332882,1.0
2000000,1.1684741,3222.730769230769,4.76435,156.1365526822897,156.1365526822897,0.15951791,0.023217179,6.9762546e-06,0.102325395,0.00012603673,1.0
