Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.4130528,18.965004022526145,-1.3706574,-4.051740424110136,-4.051740424110136,4.3108616,0.024098016,0.0002922999,0.1974333,0.004871921,1.0
200000,1.3870219,29.229832572298324,-2.8562357,-3.5388347739900614,-3.5388347739900614,1.1629636,0.02365776,0.00027766693,0.19255562,0.0046285265,1.0
300000,1.352514,46.20326409495549,-2.4576435,-2.68983672092034,-2.68983672092034,1.1621071,0.024460789,0.00026224472,0.18741491,0.0043720035,1.0
400000,1.3184353,77.36130536130536,-1.5231742,-1.131934535901678,-1.131934535901678,1.291366,0.022723764,0.00024759924,0.18253309,0.0041284007,1.0
500000,1.2889236,107.12570781426953,-0.6320199,0.3573132593885841,0.3573132593885841,1.3854944,0.023300873,0.00023295137,0.17765044,0.0038847565,1.0
600000,1.2648032,147.63608087091757,0.21516977,2.377252055621295,2.377252055621295,1.3554735,0.023060149,0.00021748675,0.17249557,0.0036275287,1.0
700000,1.2469825,193.32329317269077,1.0199878,4.597682145814741,4.597682145814741,1.3970563,0.022009823,0.00020200407,0.16733468,0.00337,1.0
800000,1.2251456,231.2128205128205,1.5136561,6.63209806866658,6.63209806866658,1.2936156,0.023482427,0.00018732414,0.16244134,0.003125824,1.0
900000,1.2056127,325.5543859649123,2.0586975,11.269057242186753,11.269057242186753,1.0713346,0.024988579,0.00017262582,0.15754192,0.0028813418,1.0
1000000,1.187586,414.53125,2.566949,15.72656421256917,15.72656421256917,0.936756,0.024235452,0.00015711691,0.15237229,0.0026233767,1.0
1100000,1.1766074,496.105,3.1506238,19.80525205016136,19.80525205016136,0.97946125,0.021947168,0.00014239762,0.14746585,0.002378546,1.0
1200000,1.1713189,524.4166666666666,3.3618603,21.220835525255936,21.220835525255936,0.8226374,0.024758961,0.00012771884,0.14257292,0.002134389,1.0
1300000,1.1645263,600.1176470588235,3.5787551,25.00588486475103,25.00588486475103,0.70855016,0.025274415,0.00011222961,0.13740985,0.001876751,1.0
1400000,1.1557105,848.09375,3.8877892,37.40469113488992,37.40469113488992,0.59876627,0.023163997,9.753553e-05,0.13251182,0.0016323394,1.0
1500000,1.1504663,955.8048780487804,4.0934076,42.790247995678975,42.790247995678975,0.49471587,0.023897622,8.2802566e-05,0.12760085,0.0013872813,1.0
1600000,1.1461612,1108.4404761904761,4.1430593,50.7475952039282,50.7475952039282,0.4679326,0.023148436,6.7323526e-05,0.12244116,0.0011298133,1.0
1700000,1.1440613,1154.5978260869565,4.214036,52.414521148127896,52.414521148127896,0.5144691,0.022678271,5.2594707e-05,0.11753155,0.0008848238,1.0
1800000,1.1432072,1129.2266666666667,4.2322917,51.46133828163147,51.46133828163147,0.47287115,0.024049047,3.791877e-05,0.11263957,0.00064071396,1.0
1900000,1.1421099,1434.2153846153847,4.3480983,66.71077547440161,66.71077547440161,0.39108023,0.024710502,2.2450444e-05,0.10748345,0.00038342408,1.0
2000000,1.1410958,1427.6666666666667,4.367407,66.73897688178455,66.73897688178455,0.43053764,0.024134863,6.996218e-06,0.10233204,0.00012636879,1.0
