Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.4154409,15.01604621309371,-1.8851497,-4.479608464233375,-4.479608464233375,5.728477,0.02188377,0.0002922964,0.19743213,0.004871863,1.0
200000,1.4042513,18.017516843118383,-3.618431,-4.375805637788268,-4.375805637788268,0.83614457,0.022860609,0.00027766894,0.1925563,0.0046285596,1.0
300000,1.3819276,27.64648552864737,-3.4679532,-4.052477184213436,-4.052477184213436,0.7029573,0.02325913,0.0002622705,0.1874235,0.0043724324,1.0
400000,1.3528173,43.68764146672702,-2.8303802,-3.5417346870121746,-3.5417346870121746,0.8294052,0.024984397,0.0002476142,0.18253808,0.00412865,1.0
500000,1.3252575,60.57097186700767,-2.2827146,-2.990440994482071,-2.990440994482071,0.8848015,0.024220455,0.00023295169,0.17765056,0.0038847618,1.0
600000,1.302115,83.27565217391304,-1.6587832,-2.2300262103910033,-2.2300262103910033,0.9457021,0.025583908,0.00021752049,0.17250681,0.0036280896,1.0
700000,1.2786369,107.10112359550561,-1.1011045,-1.455500714824492,-1.455500714824492,0.9914365,0.023830554,0.00020209148,0.16736382,0.003371454,1.0
800000,1.255552,142.7239819004525,-0.56975937,-0.3075303052922329,-0.3075303052922329,0.94517136,0.022917135,0.00018744108,0.16248035,0.0031277696,1.0
900000,1.236838,172.5303867403315,-0.16487725,0.6705707024035094,0.6705707024035094,0.91207534,0.023138665,0.00017278749,0.15759581,0.0028840308,1.0
1000000,1.2180728,200.17446808510638,0.26670772,1.6367657189673566,1.6367657189673566,0.8991338,0.024025042,0.00015733085,0.1524436,0.0026269357,1.0
1100000,1.2039851,261.3132183908046,0.751008,3.6063974130394136,3.6063974130394136,0.8391535,0.0241736,0.0001426165,0.14753883,0.0023821862,1.0
1200000,1.194158,325.06115107913666,1.2022313,5.668350894391323,5.668350894391323,0.73916024,0.023821818,0.00012792676,0.14264223,0.002137847,1.0
1300000,1.1808593,384.13157894736844,1.5040722,7.599868026741764,7.599868026741764,0.684135,0.024574723,0.00011249907,0.13749966,0.0018812331,1.0
1400000,1.173747,385.69957081545067,1.7251914,7.722317183478196,7.722317183478196,0.7274067,0.024797563,9.702924e-05,0.13234304,0.0016239183,1.0
1500000,1.1681297,447.43333333333334,1.8371671,9.755610640181436,9.755610640181436,0.60999215,0.024418393,8.231487e-05,0.12743826,0.0013791692,1.0
1600000,1.163959,481.0885416666667,1.9291819,10.877655735860268,10.877655735860268,0.6391795,0.023131806,6.7627494e-05,0.122542486,0.0011348692,1.0
1700000,1.1591811,526.4171428571428,2.017474,12.249656618663243,12.249656618663243,0.57470053,0.022756537,5.2144616e-05,0.11738151,0.00087733736,1.0
1800000,1.1544163,562.1190476190476,2.1155596,13.530178009754135,13.530178009754135,0.547138,0.023234082,3.741549e-05,0.112471804,0.0006323429,1.0
1900000,1.1518899,606.422077922078,2.172774,14.881622790516197,14.881622790516197,0.54307073,0.024365744,2.2655853e-05,0.10755193,0.00038684072,1.0
2000000,1.1506042,782.6838709677419,2.217502,20.71464438592234,20.71464438592234,0.5832674,0.024019606,7.1750933e-06,0.102391675,0.00012934407,1.0
