Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.4182621,47.241447694595934,-1.0146527,-2.637927547444432,-2.637927547444432,5.227476,0.025674585,0.00029230246,0.19743414,0.0048719635,1.0
200000,1.4162039,68.16630977872948,-1.1163756,-1.5907498458453586,-1.5907498458453586,1.6879933,0.024027288,0.00027767528,0.19255842,0.004628665,1.0
300000,1.4017634,97.40080971659918,-0.47912034,-0.13276010263556778,-0.13276010263556778,1.6047752,0.023583967,0.00026226192,0.18742064,0.00437229,1.0
400000,1.3785703,158.62105263157895,0.49416423,2.9310531674769886,2.9310531674769886,1.3701988,0.022770798,0.00024756702,0.18252236,0.004127864,1.0
500000,1.36314,222.42857142857142,1.370821,6.121429396527154,6.121429396527154,1.2000115,0.02536064,0.00023287744,0.1776258,0.0038835271,1.0
600000,1.3529726,338.5719844357977,2.2170234,11.928600579384236,11.928600579384236,0.99517095,0.023545567,0.00021740608,0.17246869,0.0036261869,1.0
700000,1.3458654,447.1658536585366,2.818894,17.35829451025986,17.35829451025986,0.9369636,0.022570636,0.00020268894,0.16756298,0.003381392,1.0
800000,1.331648,637.5267175572519,3.2662318,26.87633855470264,26.87633855470264,0.7280358,0.024575908,0.00018790922,0.16263637,0.0031355557,1.0
900000,1.3174796,975.2650602409639,3.8384686,43.76325721625822,43.76325721625822,0.46525565,0.023618434,0.00017242381,0.15747458,0.0028779816,1.0
1000000,1.307702,939.9574468085107,4.007231,41.997876342306746,41.997876342306746,0.59460795,0.022658959,0.00015767931,0.15255976,0.0026327316,1.0
1100000,1.2990862,1146.4406779661017,4.2308917,52.32203880002943,52.32203880002943,0.4104299,0.024187025,0.00014300969,0.14766988,0.0023887267,1.0
1200000,1.2911459,1799.8372093023256,4.424477,84.99186832960262,84.99186832960262,0.29118353,0.024024485,0.00012754793,0.14251596,0.0021315464,1.0
1300000,1.2857074,1979.5348837209303,4.5928283,93.97675286891848,93.97675286891848,0.28918856,0.023556242,0.0001120875,0.13736248,0.0018743873,1.0
1400000,1.2788817,2142.8275862068967,4.671589,102.14138876158616,102.14138876158616,0.21316671,0.024122631,9.742693e-05,0.13247563,0.001630533,1.0
1500000,1.2764925,2235.2972972972975,4.7390413,106.76487463873787,106.76487463873787,0.26208392,0.022394195,8.273626e-05,0.12757874,0.0013861783,1.0
1600000,1.2722508,2829.714285714286,4.7422543,136.48572673967905,136.48572673967905,0.20893161,0.023650343,6.730681e-05,0.122435585,0.0011295351,1.0
1700000,1.2702582,2697.733333333333,4.7533917,129.88667856057484,129.88667856057484,0.23012654,0.023149794,5.2629646e-05,0.117543206,0.00088540505,1.0
1800000,1.2673748,2787.7083333333335,4.7227464,134.3854289650917,134.3854289650917,0.15393871,0.02438357,3.7964324e-05,0.112654746,0.0006414717,1.0
1900000,1.26615,3366.2631578947367,4.8086586,163.31317271684347,163.31317271684347,0.14058924,0.022543926,2.2516744e-05,0.107505545,0.00038452688,1.0
2000000,1.2655908,2830.8333333333335,4.813182,136.54167914390564,136.54167914390564,0.15298736,0.023984365,7.037828e-06,0.102345906,0.0001270609,1.0
