Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.4142593,35.95694496443279,-2.1650693,-3.202923520930346,-3.202923520930346,13.464397,0.026713602,0.000292299,0.197433,0.0048719067,1.0
200000,1.3922597,47.29925558312655,-2.0152273,-2.634861186781771,-2.634861186781771,1.5884374,0.023776656,0.0002776612,0.19255373,0.0046284315,1.0
300000,1.3652775,73.7542768273717,-1.3657124,-1.312285990218167,-1.312285990218167,1.4277592,0.022815062,0.00026220916,0.18740304,0.004371411,1.0
400000,1.3484532,119.765664160401,-0.43611303,0.9882835902665791,0.9882835902665791,1.3521717,0.023559265,0.00024754775,0.1825159,0.0041275434,1.0
500000,1.3265171,187.36458333333334,0.5821006,4.368229845662912,4.368229845662912,1.2424434,0.023333978,0.00023285704,0.17761901,0.0038831881,1.0
600000,1.3067784,288.45484949832775,1.6480983,9.422743621079817,9.422743621079817,1.0842434,0.025007319,0.00021741865,0.17247286,0.0036263957,1.0
700000,1.2936838,411.8868778280543,2.3868897,15.594345559901242,15.594345559901242,0.9749046,0.023253445,0.00020268839,0.16756278,0.0033813822,1.0
800000,1.2831352,483.40462427745666,2.9771862,19.170233195916765,19.170233195916765,0.85711306,0.023955133,0.00018796578,0.16265526,0.0031364965,1.0
900000,1.2723556,648.9770992366413,3.2623167,27.44885767871187,27.44885767871187,0.7699317,0.023984352,0.00017252697,0.15750898,0.0028796971,1.0
1000000,1.2659944,892.0588235294117,3.654309,39.67178600849491,39.67178600849491,0.59249294,0.024154585,0.0001570532,0.15235104,0.0026223168,1.0
1100000,1.2620219,1022.7662337662338,3.9698691,45.965389025517,45.965389025517,0.49885184,0.02344655,0.00014229333,0.14743109,0.002376811,1.0
1200000,1.2566267,977.025974025974,4.128001,43.85130289313081,43.85130289313081,0.51960635,0.022140983,0.00012756638,0.14252211,0.0021318528,1.0
1300000,1.2541066,1386.9344262295083,4.294597,64.34672737121582,64.34672737121582,0.4313807,0.023546828,0.00011206466,0.13735487,0.0018740075,1.0
1400000,1.2523357,2041.3333333333333,4.4590883,97.06667561964555,97.06667561964555,0.269972,0.023952745,9.737535e-05,0.13245842,0.0016296755,1.0
1500000,1.2477697,2300.3953488372094,4.5793686,110.0197775641153,110.0197775641153,0.2848321,0.022002753,8.265248e-05,0.12755081,0.0013847848,1.0
1600000,1.2457918,2402.0384615384614,4.624577,115.10193365353804,115.10193365353804,0.23705833,0.02386229,6.71465e-05,0.12238215,0.0011268689,1.0
1700000,1.2440743,2666.34375,4.6138086,128.31719927489758,128.31719927489758,0.23705626,0.02245433,5.2432868e-05,0.1174776,0.00088213186,1.0
1800000,1.2422588,2474.28125,4.5762815,118.71407340466976,118.71407340466976,0.24379496,0.023299295,3.772165e-05,0.11257386,0.00063743547,1.0
1900000,1.2417166,2884.8064516129034,4.650268,139.2403353106591,139.2403353106591,0.20487717,0.02446036,2.2256016e-05,0.107418634,0.00038019012,1.0
2000000,1.2411836,3145.782608695652,4.6727147,152.28914424647456,152.28914424647456,0.20775193,0.022418398,7.5780317e-06,0.10252598,0.0001360463,1.0
