Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.4199646,30.31937682570594,3.6334789,-9.22914607687474,-9.22914607687474,31.481907,0.021777729,0.0002948568,0.19828561,0.004914451,1.0
200000,1.4169514,36.7096649980747,0.8673954,-9.06208280212876,-9.06208280212876,16.037657,0.020463806,0.00028506567,0.19502187,0.004751592,1.0
300000,1.4070066,36.09222352481438,-1.65385,-9.097513491207033,-9.097513491207033,8.403245,0.024634715,0.00027479645,0.1915988,0.004580781,1.0
400000,1.399732,43.203256043413916,-3.338942,-8.880736412577926,-8.880736412577926,4.0391784,0.025211649,0.00026503135,0.18834378,0.004418355,1.0
500000,1.3863853,47.06811836962591,-4.251354,-8.799541839361025,-8.799541839361025,2.8080297,0.023204107,0.00025526277,0.18508759,0.004255871,1.0
600000,1.3701642,51.095238095238095,-4.2261534,-8.722251973656947,-8.722251973656947,2.3225274,0.026485067,0.00024497896,0.18165967,0.0040848167,1.0
700000,1.3560776,69.5875,-3.1010423,-8.15722516913266,-8.15722516913266,1.9783853,0.023659062,0.00023467105,0.17822365,0.0039133606,1.0
800000,1.344617,95.51708074534162,-1.8278415,-7.444100649724173,-7.444100649724173,1.5985314,0.022184184,0.00022487479,0.17495827,0.0037504165,1.0
900000,1.332825,131.48125,-1.027287,-6.688010209798813,-6.688010209798813,1.4152348,0.022994056,0.00021509686,0.17169894,0.0035877768,1.0
1000000,1.3217447,153.28155339805826,-0.14868239,-6.125572559276059,-6.125572559276059,1.1071234,0.022381572,0.00020475099,0.1682503,0.0034156903,1.0
1100000,1.3117167,259.18232044198896,0.7224664,-4.400087957347625,-4.400087957347625,0.7434995,0.023688667,0.00019493356,0.16497785,0.0032523936,1.0
1200000,1.3020648,263.2247191011236,1.0116425,-2.474864600791355,-2.474864600791355,0.7443695,0.022641104,0.00018515403,0.16171801,0.0030897278,1.0
1300000,1.2906793,249.17415730337078,1.2672185,-5.29678055560321,-5.29678055560321,0.76792324,0.02351397,0.00017485078,0.15828356,0.0029183503,1.0
1400000,1.2895528,265.803738317757,1.7382438,-4.172466828653189,-4.172466828653189,0.49329847,0.022771768,0.00016504907,0.15501635,0.0027553157,1.0
1500000,1.2861538,376.6302521008403,1.7507167,-2.520427984224648,-2.520427984224648,0.53134394,0.022806162,0.00015525689,0.1517523,0.0025924388,1.0
1600000,1.2835897,446.3170731707317,1.8938038,-1.3252675931264715,-1.3252675931264715,0.4329094,0.023301398,0.0001449523,0.14831741,0.0024210387,1.0
1700000,1.279032,426.77272727272725,2.0327802,-3.9746055989102884,-3.9746055989102884,0.3992756,0.023626842,0.00013464845,0.14488281,0.0022496516,1.0
1800000,1.2752879,570.9,1.9824573,2.7145011026944434,2.7145011026944434,0.34809,0.022721909,0.00012487241,0.14162414,0.0020870438,1.0
1900000,1.2750851,407.65671641791045,1.9852036,0.13964254620359906,0.13964254620359906,0.3897885,0.025253892,0.000115081355,0.13836043,0.0019241851,1.0
2000000,1.2707597,372.09375,2.1967704,-1.8261869116686285,-1.8261869116686285,0.27927214,0.022895912,0.00010478219,0.13492738,0.001752876,1.0
2100000,1.2676768,581.9761904761905,2.264952,6.749644228390285,6.749644228390285,0.2522136,0.02109453,9.500659e-05,0.13166884,0.0015902749,1.0
2200000,1.2674848,727.0512820512821,2.3496447,-2.1742301961550345,-2.1742301961550345,0.28339034,0.024363624,8.522381e-05,0.12840793,0.0014275548,1.0
2300000,1.2654641,821.8888888888889,2.4477768,13.231224230594105,13.231224230594105,0.20080753,0.023964552,7.491298e-05,0.12497096,0.0012560512,1.0
2400000,1.2628076,404.47058823529414,2.4723022,0.38894207863246694,0.38894207863246694,0.20162462,0.023747673,6.511747e-05,0.1217058,0.001093119,1.0
2500000,1.2608237,1415.9285714285713,2.5253794,13.525430627699409,13.525430627699409,0.1638941,0.024388764,5.5326986e-05,0.11844231,0.0009302708,1.0
2600000,1.2602931,1009.8095238095239,2.4754329,15.990478384707655,15.990478384707655,0.20866828,0.021339376,4.502284e-05,0.11500758,0.0007588784,1.0
2700000,1.2601489,416.55,2.4809754,-3.1668993435800075,-3.1668993435800075,0.19165704,0.021599751,3.471745e-05,0.11157246,0.0005874654,1.0
2800000,1.2599493,389.1304347826087,2.4508214,-8.637260830920676,-8.637260830920676,0.18603425,0.02477793,2.4921925e-05,0.10830728,0.00042453315,1.0
2900000,1.2593386,526.6315789473684,2.423204,8.099580362831292,8.099580362831292,0.20304045,0.02357534,1.5118366e-05,0.10503942,0.0002614672,1.0
3000000,1.2590188,268.23809523809524,2.4535866,-5.986761636677242,-5.986761636677242,0.18080486,0.02455144,4.803569e-06,0.101601146,8.989771e-05,1.0
