Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.4194982,31.79957356076759,-3.469054,-3.4100212908502834,-3.4100212908502834,1.2789216,0.024604928,0.00029230063,0.19743355,0.0048719333,1.0
200000,1.3726375,178.0250626566416,-1.0266203,3.9898502766936645,3.9898502766936645,0.8502963,0.023219144,0.00027763844,0.19254616,0.004628053,1.0
300000,1.3243647,592.4037267080745,1.3861885,26.69037517553531,26.69037517553531,0.48287386,0.023791406,0.0002621775,0.18739249,0.0043708854,1.0
400000,1.2965866,766.9922480620155,3.2867043,36.637987759686254,36.637987759686254,0.2697988,0.02113819,0.00024749164,0.1824972,0.0041266102,1.0
500000,1.2746302,905.6697247706422,4.2952127,44.26789377807477,44.26789377807477,0.19099578,0.021468308,0.00023274927,0.17758308,0.0038813953,1.0
600000,1.258778,937.9636363636364,4.6995068,46.39727675047788,46.39727675047788,0.09103153,0.02144942,0.00021726468,0.17242154,0.003623835,1.0
700000,1.2557355,947.4509803921569,4.841474,47.02647465350581,47.02647465350581,0.06848332,0.025190582,0.00020256796,0.16752264,0.0033793796,1.0
800000,1.2474806,956.1981132075472,4.912355,47.383494671785606,47.383494671785606,0.06482074,0.022800999,0.00018786135,0.16262044,0.0031347596,1.0
900000,1.2392983,904.4181818181818,4.8654294,44.67409478317607,44.67409478317607,0.09951687,0.02304742,0.00017240546,0.15746847,0.0028776764,1.0
1000000,1.2259923,953.8725490196078,4.9267383,47.347553112927606,47.347553112927606,0.049802814,0.022997366,0.00015770351,0.15256782,0.0026331344,1.0
1100000,1.2158924,966.9417475728155,4.9428077,48.10291676845365,48.10291676845365,0.042929955,0.023974301,0.00014300764,0.1476692,0.0023886925,1.0
1200000,1.2073153,937.9607843137255,4.916036,46.3539255880842,46.3539255880842,0.08421457,0.022905543,0.00012756717,0.14252236,0.0021318658,1.0
1300000,1.20144,974.3235294117648,4.912995,48.518631626577935,48.518631626577935,0.066104636,0.024205243,0.00011210233,0.13736741,0.0018746343,1.0
1400000,1.1934459,988.7,4.929277,49.33350424528122,49.33350424528122,0.026414543,0.024412887,9.740866e-05,0.13246953,0.0016302294,1.0
1500000,1.186855,966.4205607476636,4.952502,48.04065835587332,48.04065835587332,0.048952,0.02274435,8.269858e-05,0.12756616,0.0013855514,1.0
1600000,1.1811205,974.5242718446602,4.955098,48.53107213973999,48.53107213973999,0.041654952,0.022673931,6.7216555e-05,0.12240549,0.0011280339,1.0
1700000,1.176318,952.5405405405405,4.9449015,47.358562652055205,47.358562652055205,0.046184156,0.02445763,5.2533887e-05,0.11751127,0.0008838122,1.0
1800000,1.1734445,976.2574257425742,4.955542,48.662875475269736,48.662875475269736,0.027788037,0.023570994,3.7848735e-05,0.11261622,0.0006395491,1.0
1900000,1.1707537,987.7281553398059,4.979769,49.24029550274599,49.24029550274599,0.025802765,0.022325516,2.2391136e-05,0.10746368,0.00038243755,1.0
2000000,1.1696376,986.2450980392157,4.960502,49.16421992171045,49.16421992171045,0.045713305,0.022066746,7.686997e-06,0.1025623,0.00013785875,1.0
