Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.4174325,42.72356495468278,0.3496112,-2.86382170290145,-2.86382170290145,4.0954647,0.024847137,0.00029229646,0.19743212,0.004871864,1.0
200000,1.3858399,213.60928961748633,0.72702825,5.777049991602454,5.777049991602454,1.0358808,0.02401321,0.00027763337,0.19254443,0.004627968,1.0
300000,1.345008,555.0679012345679,2.25027,24.46790358166636,24.46790358166636,0.534784,0.02547271,0.00026212228,0.1873741,0.0043699667,1.0
400000,1.3314066,802.008695652174,3.6492572,38.3939164534859,38.3939164534859,0.2713178,0.021873735,0.0002474083,0.18246941,0.0041252244,1.0
500000,1.3299268,671.8662420382166,4.271119,31.359556974119442,31.359556974119442,0.44178653,0.025907904,0.00023271455,0.1775715,0.0038808181,1.0
600000,1.3176277,748.3622047244095,4.4382796,35.47992444601584,35.47992444601584,0.31191176,0.022502385,0.00021725807,0.17241934,0.0036237247,1.0
700000,1.3002008,828.3089430894308,4.6713214,40.27480027927616,40.27480027927616,0.19907983,0.023007676,0.00020255185,0.16751726,0.0033791116,1.0
800000,1.2890912,827.0756302521008,4.747818,39.96092790916187,39.96092790916187,0.21694544,0.020772468,0.00018782582,0.16260858,0.0031341682,1.0
900000,1.2764589,866.5409836065573,4.7892966,42.42500370643178,42.42500370643178,0.17341666,0.023817625,0.00017234295,0.1574476,0.0028766366,1.0
1000000,1.2672005,880.1327433628319,4.81815,43.11814536246578,43.11814536246578,0.15511149,0.023589415,0.00015760958,0.15253651,0.002631572,1.0
1100000,1.2628733,890.7196261682243,4.8240657,43.7836486803037,43.7836486803037,0.10940552,0.021467473,0.00014290975,0.14763656,0.002387064,1.0
1200000,1.2530568,957.44,4.8923903,47.568504106998446,47.568504106998446,0.06297975,0.022390874,0.00012746772,0.14248921,0.0021302118,1.0
1300000,1.2464807,911.5315315315315,4.8882184,44.8076615741661,44.8076615741661,0.11731064,0.025209973,0.0001119682,0.13732271,0.0018724032,1.0
1400000,1.2446182,897.4234234234234,4.9186153,44.05676060324317,44.05676060324317,0.122561485,0.022574726,9.727052e-05,0.13242348,0.0016279313,1.0
1500000,1.2458457,905.3090909090909,4.8766766,44.62682205113498,44.62682205113498,0.10205741,0.02568599,8.255815e-05,0.12751934,0.0013832159,1.0
1600000,1.2403289,942.6481481481482,4.8916016,46.62130033969879,46.62130033969879,0.087012336,0.024616238,6.7083725e-05,0.12236122,0.0011258244,1.0
1700000,1.2358085,896.6324786324786,4.9014025,44.147867078455086,44.147867078455086,0.11350332,0.020916525,5.2351348e-05,0.11745042,0.0008807761,1.0
1800000,1.2329574,919.0089285714286,4.9079175,45.504468232393265,45.504468232393265,0.08377652,0.023931658,3.7585713e-05,0.11252855,0.0006351742,1.0
1900000,1.2306381,811.0909090909091,4.8909183,39.35248280556734,39.35248280556734,0.19186136,0.022460226,2.2081247e-05,0.107360385,0.00037728317,1.0
2000000,1.2300231,795.520325203252,4.7960596,38.55325541845182,38.55325541845182,0.22679321,0.022180311,7.396415e-06,0.10246544,0.00013302539,1.0
